Time,Author,Headline,Target
2018/2/16 4:07,somuchcloudporn,Bear Divergence on both 1H and 1D BTC/USD,BTCUSD
2018/2/16 5:31,rzmb44,"Believe it or not, it's actually not crazy to short Bitcoin Here",XBTUSD
2018/2/17 11:18,WarDaddy,XBT BTC Short Position - It is time for a retracement correction,BTCUSD
2018/3/5 22:15,Art_of_Trading,BTCUSD: Gartley Pattern | Short Bitcoin,BTCUSD
2018/3/7 7:16,Auyelbekov,Short bitcoin to 10310,BTCUSD
2018/3/8 4:55,majorlee,Bitcoin Death Cross on 4hr chart - march 8th 2018,BTCUSD
2018/3/8 7:23,ecicic,BTC case for 8200,BTCUSD
2018/3/8 15:14,Auyelbekov,Short bitcoin after reaching 10200,BTCUSD
2018/3/27 22:06,botje11,"Bitcoin still follow bigger picture, retest triangle before drop",BTCUSD
2018/3/29 17:59,CerealTrader,Bitcoin - Analysed From Future's Traders View,BTCUSD
2018/3/30 16:20,SuperForex,We trade on level breakdowns,BTCUSD
2018/4/9 0:14,herac,Short Bitcoin this week till major supp at 6k,BTCUSD
2018/4/9 22:45,majorlee,SHORT Bitcoin reversal imminant? well wait until 15th April,BTCUSD
2018/4/10 0:58,Luisaureliorodrigues,SHORT BITCOIN,BTCUSD
2018/4/10 6:20,Luisaureliorodrigues,Short Bitcoin,BTCUSD
2018/4/10 23:45,eleftherioslefakis,Short #Bitcoin,BTCUSD
2018/4/11 2:44,potadahead,Bearish wedge BITCOIN - we have to go lower before taking off!,BTCUSD
2018/4/20 22:24,jefskers,Short Bitcoin,XBTUSD
2018/4/22 22:53,dybsmeister,Short bitcoin 9500,BTCUSD
2018/4/25 9:03,nickdav12,bearish Cypher Pattern on BTC/USD,BTCUSD
2018/4/27 0:12,HijackedT,Short Bitcoin,BTCUSD
2018/4/27 10:16,notloc32,Short Bitcoin 9300,BTCUSD
2018/4/27 12:24,RickyParker,BTC Target 6900 Short | Goodbye BTC,BTCUSD
2018/4/28 8:12,saburdometals,$XBTUSD Short order activated 1DTF. #Bearish #bitcoin,XBTUSD
2018/5/9 8:04,crypto_OJ,short  bitcoin,BTCUSD
2018/5/11 8:28,hmorris,BTC/USD Short - RSI Trend Rinse & Repeat,BTCUSD
2018/5/12 6:07,tnti,short bitcoin,BTCUSD
2018/5/12 17:31,blackopshouston,BTC will break $5000 this year and new target will be $3000,BTCUSD
2018/5/13 2:07,TradeIndicators,BTCUSD - We're up 12.32% today shorting Bitcoin!,BTCUSD
2018/5/13 16:11,tunutidai,100x  short bitcoin,BTCUSD
2018/5/15 1:32,MrRenev,Crypto spam box 7. Thanks for the money.,XBTUSD
