Date,Price,Volume,Index,Spreads,Hash,GT,GD,ABT
20180411,6919.265,142.07,20,0.051359907,28303097.31,15,1345.2,536.6273292
20180412,7421.64,398.3,18,0.0502575,27147635.06,15,1345.9,554.025974
20180413,7997.98,296.95,23,0.05359054,28927199.58,15,1340.75,527.4606061
20180414,8018.265,164.71,23,0.052552624,26354472.91,15,1307.01,619.7737226
20180415,8229.035,160.26,24,0.051827547,31258708.44,14,1347.35,542.404908
20180416,8180.085,197.7,25,0.05523255,27159253.1,14,1344.4,611.6737589
20180417,8022.86,162.59,26,0.047319993,31145568.09,14,1342.95,531.1358025
20180418,8077.745,163.26,24,0.048165266,30831368.46,14,1346.55,541.71875
20180419,8228.715,155.08,25,0.049691958,33960695.72,14,1347.9,485.505618
20180420,8594.315,225.96,26,0.048098786,26060435.43,14,1340.15,632.2627737
20180421,8839.5,206.01,32,0.049044773,30658731.49,14,1603.37,536.572327
20180422,8916.21,161.89,31,0.052334183,31578507.51,14,1516.13,546.8625
20180423,8914.965,147.54,28,0.044757515,29260338.07,14,1328,564.2026144
20180424,9349.795,260.79,29,0.041568768,30628456.25,14,1327.35,539.2138365
20180425,9261.145,395.67,64,0.051365469,24284159.53,14,1325.7,686.4552846
20180426,8992.255,248.39,47,0.049993026,27268969.31,14,1321.9,621.4255319
20180427,9154.675,184.91,55,0.043750661,27994143.15,14,1317.7,618.8098592
20180428,9164.21,199.78,54,0.050514092,26941200.19,14,1571.19,675.453125
20180429,9370.87,184.72,61,0.041383691,31592416.69,12,1621.15,545.4873418
20180430,9296.705,156.83,59,0.043442211,31100684.58,12,1316.25,554.916129
20180501,9051.38,173.35,56,0.039431903,31602356.04,12,1309.2,548.9240506
20180502,9132.72,137.48,52,0.035361793,28000363.44,12,1310.75,616.35
20180503,9494.735,201.18,55,0.044384847,30126285.09,12,1313.3,574.7350993
20180504,9666.18,161.55,56,0.047977949,27773992.97,12,1309.35,618.0942029
20180505,9827.97,158.45,63,0.045704024,32309377.8,12,1514.22,543.6397516
20180506,9689.445,150.95,67,0.051803721,27379755.83,12,1679.41,626.4525547
20180507,9432.18,165.08,56,0.049604461,30055433.78,12,1627.88,579.6866667
20180508,9267.58,157.45,62,0.044067089,27924943.23,12,1310.05,616.2877698
20180509,9180.365,147.89,53,0.042718914,31900482.23,12,1306.85,544.7375
20180510,9205.54,152.71,63,0.043813699,30878516.54,12,1314.8,557.474026
20180511,8697.885,270.62,41,0.052953388,26015765.73,12,1324.8,683.7322835
20180512,8439.885,210.87,44,0.06083492,34124943.23,12,1359.68,520.7151515
20180513,8562.435,149.8,40,0.058377438,30987195.6,11,1414.06,584.5337838
20180514,8597.86,212.05,40,0.06127931,27178266.28,11,1320.7,657.8484848
20180515,8644.97,179.62,40,0.057926471,30001677.17,11,1310.05,590.7260274
20180516,8310.41,188.03,32,0.055664086,37395679.8,11,1291.75,474.9608939
20180517,8246.11,154.36,31,0.052874046,27361664,11,1288.85,657.9393939
20180518,8110.4,150.32,37,0.059799414,30665399.76,11,1287.2,586.1013514
20180519,8279.035,107.89,31,0.062481837,31701905.17,11,1408.04,564.9480519
20180520,8386.455,113.76,32,0.065124945,29913361.48,11,1431.4,601.1736111
20180521,8466.865,115.52,41,0.055557856,32327274.69,11,1285.85,548.2738854
20180522,8195.515,137.51,30,0.051248007,31265571.8,11,1293.9,569.0728477
20180523,7746.145,237.6,26,0.059265822,33577649.19,11,1294,534.0432099
20180524,7506.625,211.11,27,0.058298635,30327447.72,11,1296.35,606.7832168
20180525,7500.165,161.82,25,0.067685097,37805231.05,11,1303.95,488.6761364
20180526,7470.7,103.07,23,0.057903218,34798287.29,11,1390.15,536.1296296
20180527,7338.37,103.29,19,0.066131351,35054034.52,10,1421.95,528.1036585
20180528,7274.23,152.29,22,0.059907297,34138067.76,10,1424.32,539.4358974
20180529,7301.02,186.97,16,0.059003422,29724300.42,10,1302.05,636.9352518
20180530,7433.43,140.37,38,0.065740047,38138361.45,10,1298.6,491.5632184
20180531,7479.195,144.52,25,0.053711147,36742478.95,10,1303.5,513.7764706
20180601,7492.465,135.92,24,0.051710217,35829881.06,10,1299.15,520.4638554
20180602,7582.565,121.18,27,0.054561568,32472991.88,10,1308.38,566.6907895
20180603,7690.86,116.68,40,0.050054332,35167282.29,9,1424.48,531.5092025
20180604,7614.97,141.01,41,0.048035276,39230849.1,9,1294.65,472.0382514
20180605,7533.835,145.23,26,0.048560593,38431923.47,9,1292.25,491.6457143
20180606,7603.165,130.66,42,0.046882517,36135861.5,9,1295.25,588.4557823
20180607,7703.525,124,38,0.047080091,35156909.52,9,1298.3,606.6363636
20180608,7634.555,112.88,40,0.068984753,35903416.68,9,1299.2,594.7034483
20180609,7593.73,97.56,39,0.064849086,35339981.92,9,1308.38,599.5664336
20180610,7088.01,275.69,24,0.088918579,31355070.23,12,1415.37,684.0551181
20180611,6783.37,174.88,15,0.078262581,34756823.39,12,1296.05,613.1142857
20180612,6675.47,178.26,19,0.079192298,35730868.69,12,1298.3,601.4413793
20180613,6381.815,237.48,19,0.085376214,35353250.01,12,1294.4,599.4965035
20180614,6502.835,201.54,17,0.075495949,37799011.12,12,1305.3,563.6666667
20180615,6523.96,143.53,26,0.074893099,37939954.33,12,1300.1,567.3202614
20180616,6457.57,108.79,22,0.073843619,41090086.65,12,1204.14,523.0301205
20180617,6516.075,90.67,23,0.064698046,39194708.45,10,1255.28,544.6687898
20180618,6601.72,135.7,27,0.063608043,40511677.7,10,1281.25,532.3414634
20180619,6755.9,120.54,32,0.065942874,38614092.21,10,1279,558.2322581
20180620,6693.93,121.48,34,0.060794018,39662993.09,10,1273.25,553.2193548
20180621,6738.87,99.29,37,0.055830427,42953544.19,10,1263.7,509.3941176
20180622,6336.415,278.22,28,0.077522269,38260899.28,10,1269.7,573.8807947
20180623,6145.54,142.9,17,0.081450582,41106102.64,10,1306.04,541.1125
20180624,6018.075,240.6,15,0.078858467,43680648.63,11,1245.89,497.0116959
20180625,6219.85,210.69,16,0.065695361,40021175.21,11,1269.8,559.6242038
20180626,6176.925,176.66,21,0.063858269,36798735.99,11,1257.15,590.4794521
20180627,6106.9,133.42,18,0.067872971,30346062.85,11,1256.8,714.3801653
20180628,6008.245,156.05,20,0.055679866,40449919.13,11,1250.5,540.910828
20180629,6049.845,206.96,16,0.061999791,38475562.46,11,1250.55,580.2649007
20180630,6348.92,189.33,22,0.066283497,36097340.03,11,1293.65,611.6241135
20180701,6346.11,128.51,27,0.076457252,37208403.36,10,1220.26,591.4965986
20180702,6105.785,179.92,27,0.062217891,36872734.38,10,1249,601.0070922
20180703,6571.89,150.19,31,0.047753963,31720903.67,10,1245.85,737.2672414
20180704,6594.55,143.04,33,0.05510107,35771047.55,10,1256.9,659.1268657
20180705,6569.775,166.18,37,0.045045895,36581757.12,10,1252.5,630.9708029
20180706,6545.79,132.69,34,0.043679969,43156892.64,10,1254.2,536.675
20180707,6666.325,114.57,34,0.04472363,41829197.96,10,1316.55,560.8910256
20180708,6733.5,267.6,38,0.043690343,42354540.79,9,1331.85,543.6772152
20180709,6714.34,289.48,39,0.037375919,36717053.91,9,1262.6,630.4411765
20180710,6480.42,315.27,37,0.043852578,39647532.26,9,1253.7,586.1610738
20180711,6349.635,243.82,29,0.041877273,35980772.08,9,1250,640.4814815
20180712,6239.465,289.24,33,0.037979864,38594108.86,9,1244.85,598.2765957
20180713,6240.375,233.22,29,0.036102315,38845163.97,9,1240.5,615.2377622
20180714,6261.32,243.71,29,0.042299798,35367070.39,9,1316.4,653.9699248
20180715,6323.625,180.67,32,0.043318278,36112590.85,11,1268.91,644.4285714
20180716,6555.835,312.12,36,0.036299119,32265598.03,11,1244.9,719.45
20180717,7076.9,337.75,39,0.044085419,41285720.15,11,1243.65,545.9559748
20180718,7422.18,333.32,42,0.061446932,44850508.87,11,1223.45,497.4425287
20180719,7426.8,247.25,44,0.054846336,43942658.62,11,1217.4,506.2631579
20180720,7477.945,258.85,47,0.059742684,39708522.66,11,1224.85,558.4350649
20180721,7336.72,160.77,43,0.063329899,35555765.57,11,1421.95,630.2116788
20180722,7457.265,204.16,46,0.061805072,47881093.49,12,1409.14,473.6868132
20180723,7587.625,272.15,44,0.056288285,42636353.63,12,1229.45,523.1807229
20180724,8088.935,345.32,49,0.06025618,41189784.39,12,1224.3,539.572327
20180725,8271.09,269.23,54,0.058687654,45776594.16,12,1230.55,489.0282486
20180726,8082.455,235.45,53,0.055639045,42296381.72,12,1228.35,528.1272727
20180727,8042.13,243.22,47,0.056327755,43188277.1,12,1219.15,514.3952096
20180728,8154.04,147.14,54,0.056159842,37403714.76,12,1469.13,596.2482759
